# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0.01,-3.86E-04,-0.077,-7.726,0.078,7.755,-3.38E-05,0,3.38e-5,180,0.007,0.676,48.476,-80.44,9.808,124.646,0,0,0,5.702e4,1.741e4,56.395,0.268,NaN,250.212,NaN,3.533e-4,3.2e4,114.957,-7.39E-05,1.292,-0.463,1.181,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.535e-6,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.012,3.59e-5
0.02,-1.85E-04,-0.037,-3.706,0.037,3.72,-1.62E-05,0,1.622e-5,180,0.003,0.324,48.476,-80.44,9.808,105.965,0,0,0,5.699e4,1.738e4,56.403,0.268,NaN,250.27,NaN,3.023e-4,2.738e4,344.87,-7.17E-06,1.35,-0.061,1.238,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.615e-6,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.016,8.267e-6
0.03,1.575e-5,0.003,0.319,0.003,0.32,1.378e-6,0,1.378e-6,0,2.763e-4,0.028,48.476,-80.44,9.808,83.196,0,0,0,5.696e4,1.735e4,56.412,0.267,NaN,250.328,NaN,2.927e-4,2.651e4,574.783,5.845e-7,1.362,0.005,1.251,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08e-7,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.017,6.001e-8
0.04,0.001,0.294,29.063,0.295,29.174,1.312e-4,0,1.312e-4,0,0.026,2.543,48.476,-80.44,9.808,18.173,0,0,0,5.691e4,1.731e4,56.424,0.267,NaN,250.413,NaN,9.319e-4,8.44e4,2216.543,0.001,1.01,1.311,0.899,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.864e-5,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.019,5.186e-4
0.05,0.009,1.119,82.586,1.123,82.902,7.491e-4,0,7.491e-4,0,0.098,7.225,48.476,-80.44,9.808,5.029,0,0,0,5.687e4,1.726e4,56.437,0.267,NaN,250.497,NaN,0.003,3.003e5,5270.148,0.012,0.772,0.82,0.66,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.091e-4,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.02,0.008
0.06,0.025,2.251,113.264,2.26,113.697,0.002,0,0.002,0,0.197,9.909,48.476,-80.44,9.808,2.514,0,0,0,5.684e4,1.723e4,56.445,0.267,NaN,250.551,NaN,0.007,6.001e5,7017.697,0.039,0.68,0.692,0.568,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.196e-4,15.24,182.415,85,0,0.1,18.861,1000.507,342.729,0.01,0.022,0.03
0.07,0.054,3.462,121.072,3.475,121.534,0.005,0,0.005,0,0.303,10.592,48.476,-80.44,9.808,1.638,0,0,0,5.681e4,1.72e4,56.453,0.267,NaN,250.605,NaN,0.01,9.21e5,7459.19,0.084,0.632,0.637,0.521,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.376e-4,15.24,182.415,85,0,0.1,18.861,1000.505,342.729,0.01,0.023,0.072
0.08,0.095,4.75,128.888,4.768,129.38,0.008,0,0.008,0,0.416,11.276,48.476,-80.44,9.808,1.195,0,0,0,5.678e4,1.717e4,56.462,0.267,NaN,250.659,NaN,0.014,1.263e6,7900.683,0.15,0.601,0.603,0.489,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.633e-4,15.24,182.415,85,0,0.1,18.861,1000.503,342.729,0.01,0.024,0.136
0.09,0.149,6.068,131.826,6.091,132.33,0.013,0,0.013,0,0.531,11.533,48.476,-80.44,9.808,0.936,0,0,0,5.673e4,1.712e4,56.48,0.267,NaN,250.76,NaN,0.018,1.612e6,8061.78,0.235,0.578,0.58,0.467,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.918e-4,15.24,182.415,85,0,0.1,18.861,1000.501,342.728,0.01,0.025,0.221
0.1,0.216,7.366,129.842,7.394,130.338,0.019,0,0.019,0,0.644,11.36,48.476,-80.44,9.808,0.771,0,0,0,5.669e4,1.708e4,56.498,0.267,NaN,250.86,NaN,0.022,1.956e6,7942.48,0.336,0.562,0.563,0.45,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.183e-4,15.24,182.415,85,0,0.1,18.86,1000.498,342.728,0.01,0.027,0.326
0.11,0.296,8.647,128.151,8.68,128.64,0.026,0,0.026,0,0.757,11.212,48.476,-80.44,9.808,0.657,0,0,0,5.666e4,1.705e4,56.517,0.267,NaN,250.952,NaN,0.025,2.296e6,7842.183,0.451,0.549,0.549,0.437,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.433e-4,15.24,182.415,85,0,0.1,18.86,1000.494,342.728,0.01,0.028,0.45
0.12,0.389,9.915,126.792,9.952,127.276,0.034,0,0.034,0,0.867,11.093,48.476,-80.44,9.808,0.573,0,0,0,5.663e4,1.702e4,56.536,0.267,NaN,251.044,NaN,0.029,2.632e6,7760.89,0.582,0.538,0.538,0.426,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.669e-4,15.24,182.415,85,0,0.1,18.86,1000.489,342.728,0.01,0.029,0.591
0.13,0.495,11.169,125.431,11.211,125.91,0.043,0,0.043,0,0.977,10.974,48.476,-80.44,9.808,0.509,0,0,0,5.659e4,1.699e4,56.555,0.267,NaN,251.135,NaN,0.033,2.965e6,7679.597,0.725,0.529,0.529,0.417,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.86,1000.484,342.728,0.01,0.03,0.75
0.14,0.612,12.413,124.46,12.46,124.936,0.054,0,0.054,0,1.086,10.889,48.476,-80.44,9.808,0.458,0,0,0,5.655e4,1.694e4,56.567,0.266,NaN,251.206,NaN,0.036,3.295e6,7618.525,0.882,0.521,0.521,0.41,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.859,1000.479,342.728,0.01,0.031,0.927
0.15,0.743,13.651,123.844,13.703,124.317,0.065,0,0.065,0,1.194,10.835,48.476,-80.44,9.808,0.416,0,0,0,5.65e4,1.69e4,56.578,0.266,NaN,251.277,NaN,0.04,3.623e6,7577.675,1.053,0.514,0.515,0.403,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.859,1000.472,342.727,0.01,0.033,1.121
0.16,0.885,14.877,122.663,14.934,123.132,0.077,0,0.077,0,1.302,10.732,48.476,-80.44,9.808,0.382,0,0,0,5.647e4,1.687e4,56.586,0.266,NaN,251.323,NaN,0.044,3.949e6,7506.915,1.236,0.508,0.509,0.397,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.858,1000.465,342.727,0.01,0.034,1.331
0.17,1.04,16.086,120.953,16.148,121.415,0.091,0,0.091,0,1.407,10.582,48.476,-80.44,9.808,0.353,0,0,0,5.644e4,1.684e4,56.594,0.266,NaN,251.369,NaN,0.047,4.269e6,7406.245,1.43,0.503,0.503,0.391,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.858,1000.458,342.727,0.01,0.035,1.556
0.18,1.207,17.278,119.241,17.344,119.697,0.106,0,0.106,0,1.512,10.432,48.476,-80.44,9.808,0.329,0,0,0,5.642e4,1.681e4,56.602,0.266,NaN,251.414,NaN,0.051,4.585e6,7305.575,1.634,0.498,0.498,0.386,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.858,1000.45,342.727,0.01,0.036,1.796
0.19,1.386,18.459,118.15,18.53,118.601,0.121,0,0.121,0,1.615,10.337,48.476,-80.44,9.808,0.308,0,0,0,5.637e4,1.676e4,56.613,0.266,NaN,251.481,NaN,0.054,4.899e6,7238.27,1.848,0.494,0.494,0.382,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.857,1000.441,342.726,0.01,0.037,2.049
0.2,1.576,19.635,117.647,19.71,118.096,0.138,0,0.138,0,1.718,10.293,48.476,-80.44,9.808,0.289,0,0,0,5.633e4,1.672e4,56.624,0.266,NaN,251.547,NaN,0.058,5.211e6,7204.33,2.074,0.49,0.49,0.378,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.856,1000.432,342.726,0.01,0.064,2.319
0.21,1.778,20.806,117.119,20.886,117.566,0.156,0,0.156,0,1.82,10.247,48.476,-80.44,9.808,0.273,0,0,0,5.63e4,1.669e4,56.632,0.266,NaN,251.59,NaN,0.061,5.521e6,7170.967,2.312,0.486,0.486,0.374,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.856,1000.422,342.726,0.01,0.065,2.604
0.22,1.992,21.972,116.601,22.056,117.046,0.174,0,0.174,0,1.922,10.201,48.476,-80.44,9.808,0.259,0,0,0,5.627e4,1.666e4,56.64,0.266,NaN,251.633,NaN,0.064,5.83e6,7138.18,2.56,0.483,0.483,0.371,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.855,1000.412,342.725,0.01,0.066,2.903
0.23,2.218,23.132,116.082,23.221,116.525,0.194,0,0.194,0,2.024,10.156,48.476,-80.44,9.808,0.246,0,0,0,5.624e4,1.663e4,56.647,0.266,NaN,251.676,NaN,0.068,6.138e6,7105.393,2.819,0.48,0.48,0.368,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.855,1000.401,342.725,0.01,0.068,3.218
0.24,2.455,24.284,115.226,24.377,115.666,0.215,0,0.215,0,2.125,10.081,48.476,-80.44,9.808,0.234,0,0,0,5.619e4,1.658e4,56.653,0.266,NaN,251.721,NaN,0.071,6.443e6,7051.807,3.087,0.477,0.477,0.365,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.854,1000.39,342.724,0.01,0.069,3.547
0.25,2.703,25.424,113.999,25.521,114.435,0.237,0,0.237,0,2.224,9.974,48.476,-80.44,9.808,0.224,0,0,0,5.615e4,1.654e4,56.659,0.265,NaN,251.765,NaN,0.074,6.746e6,6977.422,3.364,0.474,0.474,0.362,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.24,182.415,85,0,0.1,18.853,1000.378,342.724,0.01,0.07,3.887
0.26,2.963,26.552,112.868,26.653,113.299,0.259,0,0.259,0,2.323,9.875,48.476,-80.44,9.808,0.214,0,0,0,5.612e4,1.651e4,56.663,0.265,NaN,251.794,NaN,0.078,7.045e6,6910.355,3.65,0.472,0.472,0.359,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.852,1000.365,342.723,0.01,0.071,4.24
0.27,3.234,27.67,111.865,27.776,112.293,0.283,0,0.283,0,2.421,9.787,48.476,-80.44,9.808,0.205,0,0,0,5.609e4,1.648e4,56.666,0.265,NaN,251.822,NaN,0.081,7.341e6,6850.605,3.944,0.469,0.469,0.357,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.852,1000.352,342.723,0.01,0.072,4.605
0.28,3.517,28.779,110.862,28.889,111.285,0.308,0,0.308,0,2.518,9.699,48.476,-80.44,9.808,0.198,0,0,0,5.606e4,1.645e4,56.67,0.265,NaN,251.851,NaN,0.084,7.635e6,6790.855,4.245,0.467,0.467,0.354,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.851,1000.339,342.722,0.01,0.073,4.981
0.29,3.81,29.883,110.527,29.998,110.949,0.333,0,0.333,0,2.614,9.67,48.476,-80.44,9.808,0.19,0,0,0,5.602e4,1.641e4,56.676,0.265,NaN,251.893,NaN,0.088,7.928e6,6767.077,4.557,0.465,0.465,0.352,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.85,1000.325,342.722,0.01,0.073,5.371
0.3,4.114,30.991,110.832,31.11,111.255,0.36,0,0.36,0,2.711,9.697,48.476,-80.44,9.808,0.183,0,0,0,5.597e4,1.637e4,56.682,0.265,NaN,251.935,NaN,0.091,8.222e6,6779.273,4.879,0.463,0.463,0.35,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.849,1000.31,342.721,0.01,0.075,5.776
0.31,4.43,32.092,110.047,32.214,110.467,0.388,0,0.388,0,2.808,9.628,48.476,-80.44,9.808,0.177,0,0,0,5.595e4,1.634e4,56.682,0.265,NaN,251.951,NaN,0.094,8.514e6,6732.02,5.21,0.461,0.461,0.348,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.848,1000.295,342.721,0.01,0.076,6.193
0.32,4.756,33.173,108.202,33.3,108.615,0.416,0,0.416,0,2.902,9.466,48.476,-80.44,9.808,0.171,0,0,0,5.592e4,1.631e4,56.682,0.265,NaN,251.966,NaN,0.097,8.801e6,6625.32,5.545,0.459,0.459,0.346,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.847,1000.279,342.72,0.01,0.077,6.618
0.33,5.093,34.237,106.355,34.367,106.761,0.446,0,0.446,0,2.995,9.305,48.476,-80.44,9.808,0.166,0,0,0,5.589e4,1.628e4,56.682,0.265,NaN,251.981,NaN,0.1,9.082e6,6518.62,5.885,0.457,0.457,0.344,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.846,1000.263,342.72,0.01,0.079,7.049
0.34,5.441,35.278,104.155,35.412,104.553,0.476,0,0.476,0,3.086,9.112,48.476,-80.44,9.808,0.161,0,0,0,5.584e4,1.624e4,56.688,0.265,NaN,252.021,NaN,0.103,9.359e6,6390.632,6.226,0.456,0.456,0.343,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.24,182.415,85,0,0.1,18.845,1000.246,342.719,0.01,0.092,7.484
0.35,5.799,36.293,101.572,36.432,101.96,0.507,0,0.507,0,3.175,8.886,48.476,-80.44,9.808,0.157,0,0,0,5.58e4,1.619e4,56.694,0.265,NaN,252.061,NaN,0.106,9.628e6,6241.357,6.568,0.454,0.454,0.341,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.844,1000.229,342.718,0.01,0.093,7.921
0.36,6.167,37.295,100.24,37.438,100.623,0.54,0,0.54,0,3.263,8.77,48.476,-80.44,9.808,0.152,0,0,0,5.577e4,1.616e4,56.697,0.264,NaN,252.087,NaN,0.109,9.893e6,6163.942,6.914,0.453,0.453,0.34,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.843,1000.212,342.718,0.01,0.093,8.364
0.37,6.544,38.297,100.191,38.443,100.574,0.573,0,0.573,0,3.351,8.766,48.476,-80.44,9.808,0.148,0,0,0,5.574e4,1.614e4,56.701,0.264,NaN,252.113,NaN,0.112,1.016e7,6158.385,7.268,0.452,0.452,0.338,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.842,1000.193,342.717,0.01,0.094,8.819
0.38,6.932,39.298,100.142,39.448,100.524,0.607,0,0.607,0,3.438,8.761,48.476,-80.44,9.808,0.145,0,0,0,5.572e4,1.611e4,56.705,0.264,NaN,252.139,NaN,0.115,1.042e7,6152.828,7.631,0.45,0.45,0.337,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.841,1000.175,342.716,0.01,0.094,9.286
0.39,7.33,40.294,99.668,40.448,100.048,0.641,0,0.641,0,3.525,8.72,48.476,-80.44,9.808,0.141,0,0,0,5.567e4,1.606e4,56.705,0.264,NaN,252.16,NaN,0.118,1.069e7,6122.005,8,0.449,0.449,0.335,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.84,1000.156,342.716,0.01,0.094,9.763
0.4,7.738,41.281,98.74,41.439,99.117,0.677,0,0.677,0,3.612,8.639,48.476,-80.44,9.808,0.138,0,0,0,5.563e4,1.602e4,56.705,0.264,NaN,252.181,NaN,0.121,1.095e7,6065.915,8.374,0.448,0.448,0.334,0.011,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.838,1000.136,342.715,0.01,0.095,10.247
0.41,8.156,42.263,98.204,42.425,98.579,0.714,0,0.714,0,3.698,8.592,48.476,-80.44,9.808,0.135,0,0,0,5.56e4,1.599e4,56.705,0.264,NaN,252.194,NaN,0.124,1.121e7,6033.297,8.754,0.447,0.447,0.333,0.011,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.837,1000.116,342.714,0.01,0.095,10.74
0.42,8.584,43.244,98.088,43.409,98.463,0.751,0,0.751,0,3.783,8.582,48.476,-80.44,9.808,0.131,0,0,0,5.557e4,1.597e4,56.705,0.264,NaN,252.208,NaN,0.127,1.147e7,6024.15,9.142,0.446,0.446,0.332,0.011,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.24,182.415,85,0,0.1,18.836,1000.095,342.713,0.01,0.095,11.244
0.435,9.243,44.71,97.787,44.882,98.237,0.809,4.703e-8,0.809,3.332e-6,3.924,9.398,48.476,-80.44,9.808,0.143,0,0.005,-1.37E-05,5.552e4,1.592e4,56.708,0.264,315.922,252.24,4.179,0.131,1.186e7,6006.679,9.737,0.444,0.444,0.33,0.012,0.103,0.027,0.114,3.093e-5,0,0,0,0,7.263e-8,0.004,15.24,182.415,85,0,0.1,18.834,1000.064,342.712,0.015,0.096,12.02
0.458,10.273,46.866,95.803,47.048,96.246,0.899,2.991e-7,0.899,1.905e-5,4.132,9.222,48.476,-80.44,9.808,0.159,0,0.015,2.851e-5,5.544e4,1.583e4,56.716,0.264,315.838,252.303,4.169,0.137,1.243e7,5888.072,10.645,0.442,0.442,0.327,0.012,0.103,0.031,0.127,-3.89E-04,0,0,0,0,5.171e-7,0.005,15.24,182.415,85,-1.02E-06,0.1,18.831,1000.014,342.711,0.023,0.096,13.207
0.491,11.909,50.077,95.237,50.273,95.678,1.044,1.107e-6,1.044,6.074e-5,4.441,9.17,48.476,-80.44,9.808,0.18,0,0.033,-2.56E-05,5.533e4,1.572e4,56.715,0.263,315.732,252.352,4.159,0.147,1.328e7,5846.489,12.1,0.44,0.44,0.325,0.012,0.103,0.035,0.144,-3.59E-04,0,0,0,0,2.213e-6,0.005,15.24,182.415,84.999,-9.61E-06,0.1,18.826,999.935,342.708,0.034,0.097,15.079
0.541,14.53,54.766,93.827,54.984,94.262,1.277,3.318e-6,1.277,1.488e-4,4.893,9.045,48.476,-80.44,9.808,0.206,0,0.069,1.521e-4,5.516e4,1.556e4,56.715,0.263,315.613,252.422,4.146,0.16,1.452e7,5753.315,14.49,0.44,0.44,0.325,0.012,0.104,0.04,0.165,4.159e-4,0,0,0,0,7.964e-6,0.005,15.24,182.415,84.996,-3.89E-05,0.1,18.819,999.809,342.703,0.05,0.097,18.036
0.591,17.385,59.418,93.164,59.658,93.597,1.533,6.831e-6,1.533,2.553e-4,5.342,8.987,48.476,-80.44,9.808,0.225,0,0.117,1.524e-4,5.5e4,1.539e4,56.713,0.262,315.533,252.487,4.137,0.174,1.576e7,5702.258,17.084,0.441,0.441,0.324,0.012,0.104,0.043,0.179,-2.05E-04,0,0,0,0,1.924e-5,0.006,15.24,182.415,84.992,-6.72E-05,0.1,18.81,999.672,342.698,0.05,0.097,21.23
0.641,20.471,64.018,92.132,64.279,92.561,1.812,1.175e-5,1.812,3.716e-4,5.786,8.902,48.476,-80.44,9.808,0.238,0,0.176,2.434e-4,5.484e4,1.523e4,56.722,0.262,315.489,252.579,4.128,0.188,1.698e7,5631.5,19.862,0.442,0.442,0.324,0.013,0.105,0.046,0.189,-2.06E-04,0,0,0,0,3.785e-5,0.006,15.24,182.415,84.985,-1.05E-04,0.1,18.801,999.524,342.692,0.05,0.098,24.644
0.691,23.786,68.578,91.326,68.861,91.753,2.112,1.816e-5,2.112,4.927e-4,6.228,8.843,48.476,-80.44,9.808,0.246,0,0.248,2.855e-4,5.468e4,1.507e4,56.72,0.262,315.479,252.634,4.124,0.201,1.819e7,5573.874,22.83,0.442,0.443,0.324,0.013,0.105,0.047,0.196,3.574e-4,0,0,0,0,6.524e-5,0.007,15.24,182.415,84.974,-1.38E-04,0.1,18.792,999.365,342.687,0.05,0.098,28.279
0.741,27.33,73.175,92.05,73.479,92.481,2.434,2.617e-5,2.434,6.158e-4,6.673,8.925,48.476,-80.44,9.808,0.248,0,0.331,1.297e-4,5.452e4,1.491e4,56.716,0.261,315.506,252.684,4.122,0.214,1.94e7,5600.674,26.037,0.443,0.443,0.324,0.013,0.106,0.048,0.197,1.801e-4,0,0,0,0,1.024e-4,0.007,15.24,182.415,84.96,-1.16E-04,0.1,18.781,999.194,342.68,0.05,0.098,32.194
0.791,31.101,77.705,90.705,78.029,91.134,2.779,3.587e-5,2.779,7.395e-4,7.113,8.834,48.476,-80.44,9.808,0.244,0,0.426,3.217e-4,5.436e4,1.475e4,56.713,0.261,315.565,252.73,4.123,0.228,2.06e7,5514.761,29.413,0.444,0.444,0.324,0.014,0.106,0.047,0.194,-3.40E-04,0,0,0,0,1.498e-4,0.008,15.24,182.415,84.941,-7.19E-05,0.1,18.77,999.013,342.674,0.05,0.099,36.3
0.841,35.1,82.227,90.569,82.574,91.001,3.146,4.74e-5,3.146,8.633e-4,7.555,8.858,48.476,-80.44,9.808,0.235,0,0.529,2.969e-4,5.421e4,1.46e4,56.702,0.26,315.659,252.755,4.128,0.241,2.18e7,5495.468,33,0.445,0.445,0.324,0.014,0.107,0.045,0.188,3.378e-4,0,0,0,0,2.065e-4,0.008,15.24,182.415,84.917,-1.44E-05,0.1,18.759,998.821,342.667,0.05,0.099,40.646
0.891,39.325,86.781,91.171,87.149,91.61,3.535,6.087e-5,3.535,9.866e-4,8.001,8.96,48.476,-80.44,9.808,0.221,0,0.639,3.649e-5,5.405e4,1.445e4,56.693,0.26,315.788,252.78,4.134,0.254,2.3e7,5516.769,36.829,0.446,0.446,0.323,0.015,0.108,0.043,0.176,4.25e-4,0,0,0,0,2.705e-4,0.008,15.24,182.415,84.888,1.143e-4,0.1,18.746,998.618,342.659,0.05,0.099,45.267
0.941,43.777,91.303,90.543,91.693,90.986,3.946,7.643e-5,3.946,0.001,8.447,8.964,48.476,-80.44,9.808,0.201,0,0.752,-1.65E-05,5.39e4,1.429e4,56.687,0.26,315.95,252.813,4.143,0.268,2.42e7,5471.733,40.853,0.447,0.447,0.323,0.015,0.109,0.039,0.16,2.54e-4,0,0,0,0,3.385e-4,0.009,15.24,182.415,84.853,3.385e-4,0.1,18.733,998.404,342.651,0.05,0.1,50.102
0.991,48.456,95.865,91.35,96.278,91.803,4.379,9.429e-5,4.379,0.001,8.9,9.111,48.476,-80.44,9.808,0.176,0,0.864,1.855e-4,5.375e4,1.414e4,56.68,0.259,316.145,252.843,4.154,0.281,2.541e7,5504.797,45.139,0.448,0.448,0.323,0.016,0.109,0.034,0.141,-2.37E-04,0,0,0,0,4.049e-4,0.009,15.24,182.415,84.812,6.544e-4,0.1,18.72,998.179,342.643,0.05,0.101,55.228
1.041,53.363,100.42,91.191,100.855,91.652,4.836,1.147e-4,4.836,0.001,9.357,9.183,48.476,-80.44,9.808,0.147,0,0.969,2.363e-4,5.36e4,1.4e4,56.663,0.259,316.37,252.839,4.169,0.294,2.661e7,5486.108,49.647,0.449,0.449,0.323,0.016,0.11,0.028,0.117,3.547e-4,0,0,0,0,4.641e-4,0.01,15.24,182.415,84.767,0.001,0.1,18.705,997.943,342.634,0.05,0.101,60.593
1.091,58.499,105.014,91.966,105.472,92.441,5.315,1.379e-4,5.315,0.001,9.822,9.353,48.476,-80.44,9.808,0.113,0,1.062,-1.69E-04,5.346e4,1.385e4,56.655,0.259,316.621,252.862,4.184,0.308,2.782e7,5518.132,54.428,0.45,0.45,0.322,0.017,0.111,0.022,0.091,-2.71E-04,0,0,0,0,5.097e-4,0.01,15.24,182.415,84.716,0.002,0.1,18.69,997.696,342.625,0.05,0.103,66.255
1.141,63.865,109.617,92.147,110.099,92.633,5.818,1.643e-4,5.818,0.002,10.293,9.481,48.476,-80.44,9.808,0.077,4.385e-7,1.136,5.364e-4,5.331e4,1.37e4,56.646,0.258,316.893,252.88,4.2,0.321,2.904e7,5518.542,59.46,0.452,0.452,0.322,0.017,0.112,0.015,0.061,-4.65E-04,0,0,0,0,5.355e-4,0.011,15.24,182.415,84.661,0.002,0.1,18.675,997.438,342.616,0.05,0.104,72.18
1.191,69.46,114.2,91.738,114.706,92.235,6.345,1.943e-4,6.345,0.002,10.767,9.563,48.476,-80.44,9.808,0.039,0,1.185,0.002,5.317e4,1.356e4,56.637,0.258,317.178,252.895,4.218,0.335,3.025e7,5487.891,64.712,0.453,0.453,0.322,0.018,0.113,0.007,0.03,-5.12E-05,0,0,0,0,5.369e-4,0.011,15.24,182.415,84.603,0.003,0.1,18.658,997.169,342.606,0.05,0.105,78.331
1.241,75.285,118.807,92.23,119.339,92.743,6.895,2.282e-4,6.895,0.002,11.251,9.736,48.476,-80.44,9.808,3.414e-4,3.943e-7,0,0,5.303e4,1.342e4,56.627,0.257,317.469,252.906,4.236,0.348,3.147e7,5505.813,70.242,0.454,0.454,0.321,0.019,0.114,6.556e-5,2.3e-4,-4.93E-04,0,0,0,0,0,0.012,15.24,182.415,84.543,0.003,0.1,18.641,996.889,342.595,0.05,0.106,84.766
