# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,396.24,0,0,0,0,0,0,0,0,0,0,0.499,-1.407,85,0,0,0,85,0,8.886e4,3.856e4,91.419,0.667,9.791,NaN,268.837,NaN,0,0,2.642e-4,0.505,0.386,0.014,0.105,8.01e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.153,90,12.424,966.778,0.001,338.828,0.012,1.182e6,20.32,324.293,0.01,0.018,0
0.01,0,396.24,0,0,0,0,0,0,0,0,0,0,0.499,-1.407,85,0,0,0,85,0,8.885e4,3.856e4,91.426,0.667,9.791,NaN,268.79,NaN,304.37,0.35,2.676e-4,0.505,0.386,0.014,0.105,8.002e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.182,90,12.424,966.778,0.001,338.828,0.012,1.191e6,20.32,324.293,0.01,0.024,0
0.02,0,396.24,0,0,0,0,0,0,0,0,0,0,0.499,-1.407,85,0,0,0,85,0,8.885e4,3.856e4,91.433,0.667,9.791,NaN,268.743,NaN,608.74,0.7,2.711e-4,0.504,0.385,0.014,0.105,7.993e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.211,90,12.424,966.778,0.001,338.828,0.012,1.199e6,20.32,324.293,0.01,0.027,0
0.03,0,396.24,7.497e-4,0.002,0.45,0.978,0,0,0,0,0.001,0.868,0.499,-1.407,84.99,0,0,0,85,0,8.885e4,3.855e4,91.44,0.667,9.791,NaN,268.696,NaN,913.11,1.05,2.764e-4,0.504,0.385,0.014,0.105,8.032e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.24,90,12.424,966.778,0.001,338.828,0.013,1.208e6,20.32,324.293,0.01,0.031,2.319e-7
0.04,3e-5,396.24,0.005,0.011,0.451,0.978,5.789e-5,0,5.789e-5,1.501e-5,0.01,0.868,0.499,-1.407,84.93,0,0,0,85,0,8.884e4,3.855e4,91.44,0.667,9.791,NaN,268.692,NaN,913.11,1.05,2.91e-4,0.503,0.384,0.014,0.105,8.309e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.269,90,12.424,966.778,0.001,338.828,0.013,1.218e6,20.32,324.293,0.01,0.033,1.623e-6
0.05,1.05e-4,396.24,0.01,0.021,0.451,0.978,2.026e-4,0,2.026e-4,2.858e-5,0.019,0.867,0.499,-1.407,84.87,0,0,0,85,0,8.883e4,3.854e4,91.439,0.667,9.791,NaN,268.687,NaN,913.11,1.05,3.06e-4,0.502,0.383,0.014,0.105,8.587e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.298,90,12.424,966.778,0.001,338.828,0.013,1.229e6,20.32,324.293,0.01,0.037,3.014e-6
0.06,8.384e-4,396.241,0.198,0.203,37.251,37.475,4.876e-4,0,4.876e-4,3.85e-5,0.044,4.087,0.499,-1.407,82.363,0,0,0,85,0,8.879e4,3.85e4,91.446,0.667,9.791,NaN,268.589,NaN,4192.607,4.823,9.79e-4,0.503,0.383,0.014,0.105,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.261,90,12.424,966.778,0.001,338.828,0.013,1.227e6,20.32,324.293,0.01,0.04,2.617e-5
0.07,0.005,396.245,0.755,0.762,74.088,74.448,0.001,0,0.001,4.254e-5,0.101,7.309,0.499,-1.407,75.095,0,0,0,85,0,8.875e4,3.845e4,91.453,0.667,9.791,NaN,268.491,NaN,7472.103,8.599,0.007,0.501,0.382,0.014,0.105,0.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.223,90,12.424,966.777,0.001,338.828,0.013,1.25e6,20.32,324.293,0.01,0.042,9.776e-5
0.08,0.017,396.257,1.68,1.691,110.962,111.461,0.003,0,0.003,4.722e-5,0.19,10.532,0.499,-1.407,63.991,0,0,0,85,0,8.87e4,3.841e4,91.46,0.667,9.791,NaN,268.393,NaN,1.075e4,12.38,0.036,0.496,0.377,0.014,0.105,0.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.185,90,12.424,966.776,0.001,338.828,0.014,1.334e6,20.32,324.293,0.01,0.044,2.169e-4
0.09,0.039,396.279,2.781,2.797,109.346,109.764,0.005,0,0.005,5.416e-5,0.294,9.567,0.499,-1.407,52.945,0,0,0,85,0,8.864e4,3.834e4,91.465,0.666,9.791,NaN,268.283,NaN,1.059e4,12.207,0.108,0.488,0.369,0.014,0.105,0.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.147,90,12.424,966.773,0.001,338.828,0.015,1.492e6,20.32,324.293,0.01,0.046,3.587e-4
0.1,0.073,396.313,3.866,3.886,107.656,108.067,0.008,8.263e-9,0.008,5.605e-5,0.389,9.419,0.499,-1.407,44.323,0,0,0,85,0,8.857e4,3.828e4,91.471,0.666,9.791,NaN,268.173,NaN,1.044e4,12.034,0.218,0.48,0.361,0.014,0.106,0.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.109,90,12.424,966.769,0.001,338.828,0.018,1.689e6,20.32,324.293,0.01,0.048,4.983e-4
0.11,0.117,396.357,4.937,4.961,106.499,106.906,0.013,1.177e-8,0.013,5.267e-5,0.483,9.317,0.499,-1.407,38.048,0,0,0,85,0,8.853e4,3.824e4,91.484,0.666,9.791,NaN,268.047,NaN,1.033e4,11.915,0.359,0.471,0.352,0.014,0.106,0.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.129,90,12.424,966.764,0.001,338.828,0.02,1.923e6,20.32,324.293,0.01,0.05,6.36e-4
0.12,0.171,396.411,5.996,6.024,105.34,105.743,0.018,1.528e-8,0.018,4.838e-5,0.576,9.216,0.499,-1.407,33.229,0,0,0,85,0,8.849e4,3.819e4,91.499,0.666,9.791,NaN,267.922,NaN,1.022e4,11.797,0.526,0.463,0.344,0.014,0.106,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.148,90,12.423,966.758,0.001,338.827,0.023,2.173e6,20.32,324.293,0.01,0.051,7.723e-4
0.13,0.237,396.477,7.044,7.075,104.181,104.578,0.024,1.88e-8,0.024,4.429e-5,0.667,9.115,0.499,-1.407,29.463,0,0,0,85,0,8.845e4,3.815e4,91.513,0.665,9.791,NaN,267.796,NaN,1.011e4,11.678,0.714,0.456,0.337,0.014,0.106,0.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.167,90,12.423,966.75,0.001,338.827,0.025,2.432e6,20.32,324.293,0.01,0.053,9.071e-4
0.14,0.312,396.552,8.083,8.119,103.649,104.045,0.031,2.231e-8,0.031,4.065e-5,0.758,9.068,0.499,-1.407,26.456,0,0,0,85,0,8.838e4,3.809e4,91.518,0.665,9.791,NaN,267.699,NaN,1.006e4,11.624,0.92,0.45,0.331,0.014,0.106,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.187,90,12.422,966.741,0.001,338.827,0.028,2.698e6,20.32,324.293,0.01,0.054,0.001
0.15,0.398,396.638,9.117,9.156,103.116,103.51,0.039,2.582e-8,0.039,3.747e-5,0.849,9.021,0.499,-1.407,24.004,0,0,0,85,0,8.832e4,3.803e4,91.524,0.665,9.791,NaN,267.601,NaN,1e4,11.57,1.142,0.444,0.325,0.014,0.106,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.206,90,12.422,966.731,0.001,338.827,0.031,2.968e6,20.32,324.293,0.01,0.057,0.001
0.16,0.495,396.735,10.141,10.184,101.66,102.049,0.048,2.933e-8,0.048,3.471e-5,0.938,8.894,0.499,-1.407,22.143,0,0,0,85,0,8.828e4,3.799e4,91.524,0.664,9.791,NaN,267.556,NaN,9871.43,11.421,1.38,0.439,0.32,0.014,0.106,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.261,90,12.421,966.72,0.001,338.826,0.034,3.244e6,20.32,324.293,0.01,0.06,0.001
0.17,0.601,396.841,11.15,11.197,100.203,100.586,0.058,3.284e-8,0.058,3.231e-5,1.026,8.767,0.499,-1.407,20.6,0,0,0,85,0,8.824e4,3.795e4,91.523,0.664,9.791,NaN,267.512,NaN,9738.16,11.271,1.629,0.435,0.315,0.014,0.106,0.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.316,90,12.421,966.707,0.001,338.826,0.036,3.52e6,20.32,324.293,0.01,0.062,0.001
0.18,0.718,396.958,12.145,12.196,98.745,99.122,0.069,3.635e-8,0.069,3.021e-5,1.114,8.639,0.499,-1.407,19.302,0,0,0,85,0,8.82e4,3.791e4,91.523,0.664,9.791,NaN,267.467,NaN,9604.89,11.122,1.89,0.431,0.311,0.014,0.106,0.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.371,90,12.42,966.694,0.001,338.825,0.039,3.794e6,20.32,324.293,0.01,0.064,0.002
0.19,0.844,397.084,13.13,13.185,98.306,98.682,0.081,3.986e-8,0.081,2.837e-5,1.2,8.601,0.499,-1.407,18.192,0,0,0,85,0,8.814e4,3.785e4,91.529,0.664,9.791,NaN,267.376,NaN,9559.955,11.078,2.162,0.427,0.308,0.014,0.106,0.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.426,90,12.419,966.679,0.001,338.825,0.042,4.067e6,20.32,324.293,0.01,0.066,0.002
0.2,0.98,397.22,14.111,14.169,97.868,98.241,0.093,4.337e-8,0.093,2.674e-5,1.286,8.562,0.499,-1.407,17.226,0,0,0,85,0,8.808e4,3.779e4,91.534,0.663,9.791,NaN,267.285,NaN,9515.02,11.033,2.446,0.423,0.304,0.014,0.106,0.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.481,90,12.418,966.663,0.001,338.824,0.045,4.34e6,20.32,324.293,0.01,0.068,0.002
0.21,1.126,397.366,15.087,15.15,97.421,97.793,0.106,4.688e-8,0.106,2.529e-5,1.371,8.523,0.499,-1.407,16.266,0,0,0,85,0,8.804e4,3.775e4,91.537,0.663,9.791,NaN,267.227,NaN,9471.613,10.987,2.735,0.42,0.301,0.014,0.106,0.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.501,90,12.417,966.646,0.001,338.824,0.048,4.609e6,20.32,324.293,0.01,0.07,0.002
0.22,1.282,397.522,16.059,16.125,96.973,97.344,0.12,5.039e-8,0.12,2.399e-5,1.456,8.484,0.499,-1.407,15.415,0,0,0,85,0,8.801e4,3.771e4,91.541,0.663,9.791,NaN,267.169,NaN,9428.207,10.942,3.03,0.417,0.298,0.014,0.106,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.521,90,12.416,966.627,0.001,338.823,0.051,4.878e6,20.32,324.293,0.01,0.071,0.002
0.23,1.447,397.687,17.027,17.096,96.525,96.894,0.135,5.39e-8,0.135,2.282e-5,1.541,8.445,0.499,-1.407,14.657,0,0,0,85,0,8.797e4,3.767e4,91.544,0.663,9.791,NaN,267.11,NaN,9384.8,10.896,3.33,0.415,0.295,0.014,0.106,0.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.542,90,12.415,966.608,0.001,338.822,0.053,5.147e6,20.32,324.293,0.01,0.073,0.002
0.24,1.622,397.862,17.987,18.06,95.475,95.84,0.151,5.741e-8,0.151,2.176e-5,1.625,8.353,0.499,-1.407,13.98,0,0,0,85,0,8.791e4,3.762e4,91.544,0.663,9.791,NaN,267.05,NaN,9286.33,10.789,3.636,0.412,0.293,0.014,0.106,0.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.562,90,12.414,966.587,0.001,338.822,0.056,5.415e6,20.32,324.293,0.01,0.075,0.002
0.25,1.807,398.047,18.936,19.013,94.423,94.784,0.168,6.092e-8,0.168,2.08e-5,1.708,8.261,0.499,-1.407,13.374,0,0,0,85,0,8.785e4,3.756e4,91.544,0.662,9.791,NaN,266.989,NaN,9187.86,10.682,3.947,0.41,0.29,0.014,0.106,0.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.582,90,12.413,966.566,0.001,338.821,0.059,5.68e6,20.32,324.293,0.01,0.078,0.002
0.26,2.001,398.241,19.876,19.957,93.566,93.924,0.185,6.444e-8,0.185,1.992e-5,1.79,8.186,0.499,-1.407,12.738,0,0,0,85,0,8.782e4,3.752e4,91.541,0.662,9.791,NaN,266.966,NaN,9108.757,10.594,4.254,0.408,0.288,0.014,0.106,0.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.568,90,12.411,966.543,0.001,338.82,0.062,5.94e6,20.32,324.293,0.01,0.08,0.003
0.27,2.205,398.445,20.808,20.892,92.709,93.063,0.204,6.795e-8,0.204,1.912e-5,1.871,8.111,0.499,-1.407,12.159,0,0,0,85,0,8.778e4,3.748e4,91.538,0.662,9.791,NaN,266.943,NaN,9029.653,10.507,4.565,0.406,0.286,0.014,0.106,0.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.553,90,12.41,966.519,0.001,338.819,0.064,6.199e6,20.32,324.293,0.01,0.081,0.003
0.28,2.417,398.657,21.73,21.818,91.85,92.201,0.223,7.146e-8,0.223,1.838e-5,1.952,8.036,0.499,-1.407,11.632,0,0,0,85,0,8.774e4,3.745e4,91.534,0.662,9.791,NaN,266.92,NaN,8950.55,10.419,4.882,0.404,0.284,0.014,0.106,0.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.539,90,12.409,966.494,0.001,338.819,0.067,6.456e6,20.32,324.293,0.01,0.083,0.003
0.29,2.639,398.879,22.65,22.741,92.095,92.447,0.243,7.497e-8,0.243,1.77e-5,2.033,8.057,0.499,-1.407,11.146,0,0,0,85,0,8.769e4,3.739e4,91.535,0.661,9.791,NaN,266.862,NaN,8966.695,10.444,5.205,0.402,0.282,0.014,0.106,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.525,90,12.407,966.468,0.001,338.818,0.07,6.712e6,20.32,324.293,0.01,0.084,0.003
0.3,2.87,399.11,23.572,23.667,92.339,92.692,0.263,7.848e-8,0.263,1.707e-5,2.113,8.079,0.499,-1.407,10.695,0,0,0,85,0,8.763e4,3.734e4,91.535,0.661,9.791,NaN,266.804,NaN,8982.84,10.47,5.538,0.4,0.28,0.014,0.106,0.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.51,90,12.406,966.441,0.001,338.817,0.072,6.97e6,20.32,324.293,0.01,0.086,0.003
0.31,3.111,399.351,24.488,24.586,90.77,91.117,0.285,8.199e-8,0.285,1.649e-5,2.193,7.941,0.499,-1.407,10.326,0,0,0,85,0,8.759e4,3.73e4,91.531,0.661,9.791,NaN,266.783,NaN,8841.587,10.309,5.885,0.399,0.279,0.014,0.106,0.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.518,90,12.404,966.413,0.001,338.816,0.075,7.227e6,20.32,324.293,0.01,0.087,0.003
0.32,3.36,399.6,25.388,25.489,89.2,89.541,0.307,8.55e-8,0.307,1.594e-5,2.272,7.804,0.499,-1.407,9.988,0,0,0,85,0,8.756e4,3.726e4,91.528,0.661,9.791,NaN,266.761,NaN,8700.333,10.149,6.236,0.397,0.277,0.014,0.106,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.525,90,12.403,966.384,0.001,338.815,0.078,7.481e6,20.32,324.293,0.01,0.089,0.003
0.33,3.618,399.858,26.272,26.377,87.628,87.963,0.33,8.901e-8,0.33,1.544e-5,2.349,7.666,0.499,-1.407,9.678,0,0,0,85,0,8.752e4,3.723e4,91.525,0.661,9.791,NaN,266.74,NaN,8559.08,9.988,6.589,0.396,0.276,0.014,0.106,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.532,90,12.401,966.353,0.001,338.814,0.08,7.73e6,20.32,324.293,0.01,0.092,0.003
0.34,3.885,400.125,27.137,27.245,85.43,85.756,0.354,9.252e-8,0.354,1.496e-5,2.425,7.474,0.499,-1.407,9.394,0,0,0,85,0,8.747e4,3.718e4,91.526,0.66,9.791,NaN,266.686,NaN,8361.46,9.763,6.944,0.394,0.274,0.014,0.106,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.539,90,12.399,966.322,0.001,338.813,0.083,7.974e6,20.32,324.293,0.01,0.094,0.003
0.35,4.161,400.401,27.981,28.092,83.229,83.547,0.379,9.603e-8,0.379,1.452e-5,2.499,7.282,0.499,-1.407,9.133,0,0,0,85,0,8.742e4,3.713e4,91.526,0.66,9.791,NaN,266.633,NaN,8163.84,9.538,7.299,0.393,0.273,0.014,0.106,0.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.547,90,12.397,966.29,0.001,338.812,0.085,8.212e6,20.32,324.293,0.01,0.096,0.004
0.36,4.445,400.685,28.813,28.927,83.177,83.495,0.404,9.954e-8,0.404,1.411e-5,2.572,7.277,0.499,-1.407,8.876,0,0,0,85,0,8.739e4,3.709e4,91.523,0.66,9.791,NaN,266.613,NaN,8156.487,9.533,7.653,0.392,0.272,0.014,0.106,0.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.546,90,12.396,966.256,0.001,338.811,0.088,8.447e6,20.32,324.293,0.01,0.097,0.004
0.37,4.737,400.977,29.644,29.762,83.125,83.443,0.43,1.031e-7,0.43,1.372e-5,2.644,7.272,0.499,-1.407,8.633,0,0,0,85,0,8.735e4,3.706e4,91.52,0.66,9.791,NaN,266.594,NaN,8149.133,9.528,8.016,0.391,0.27,0.014,0.106,0.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.545,90,12.394,966.222,0.001,338.809,0.09,8.681e6,20.32,324.293,0.01,0.099,0.004
0.38,5.038,401.278,30.475,30.596,83.073,83.39,0.457,1.066e-7,0.457,1.336e-5,2.717,7.268,0.499,-1.407,8.403,0,0,0,85,0,8.732e4,3.703e4,91.517,0.659,9.791,NaN,266.574,NaN,8141.78,9.523,8.386,0.39,0.269,0.014,0.106,0.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.545,90,12.392,966.187,0.001,338.808,0.092,8.916e6,20.32,324.293,0.01,0.1,0.004
0.39,5.347,401.587,31.302,31.426,82.274,82.588,0.485,1.101e-7,0.485,1.301e-5,2.79,7.198,0.499,-1.407,8.186,0,0,0,85,0,8.727e4,3.698e4,91.518,0.659,9.791,NaN,266.523,NaN,8067.52,9.442,8.763,0.389,0.268,0.014,0.106,0.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.544,90,12.39,966.151,0.001,338.807,0.095,9.149e6,20.32,324.293,0.01,0.101,0.004
0.4,5.664,401.904,32.121,32.248,81.473,81.785,0.513,1.136e-7,0.513,1.269e-5,2.861,7.128,0.499,-1.407,7.981,0,0,0,85,0,8.722e4,3.693e4,91.518,0.659,9.791,NaN,266.472,NaN,7993.26,9.36,9.143,0.387,0.267,0.014,0.107,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.543,90,12.388,966.113,0.001,338.806,0.097,9.381e6,20.32,324.293,0.01,0.103,0.004
0.41,5.989,402.229,32.935,33.065,81.365,81.676,0.542,1.171e-7,0.542,1.238e-5,2.932,7.119,0.499,-1.407,7.859,0,0,0,85,0,8.719e4,3.689e4,91.515,0.659,9.791,NaN,266.453,NaN,7981.153,9.349,9.551,0.386,0.266,0.014,0.107,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.586,90,12.386,966.075,0.001,338.805,0.1,9.613e6,20.32,324.293,0.01,0.104,0.004
0.42,6.322,402.562,33.748,33.881,81.256,81.567,0.572,1.206e-7,0.572,1.209e-5,3.004,7.109,0.499,-1.407,7.742,0,0,0,85,0,8.715e4,3.686e4,91.512,0.659,9.791,NaN,266.434,NaN,7969.047,9.339,9.967,0.386,0.265,0.014,0.107,0.436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.628,90,12.383,966.036,0.001,338.803,0.102,9.846e6,20.32,324.293,0.01,0.105,0.004
0.43,6.664,402.904,34.56,34.696,81.147,81.457,0.602,1.241e-7,0.602,1.181e-5,3.075,7.099,0.499,-1.407,7.631,0,0,0,85,0,8.712e4,3.683e4,91.509,0.658,9.791,NaN,266.415,NaN,7956.94,9.328,10.39,0.385,0.264,0.014,0.107,0.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.67,90,12.381,965.996,0.001,338.802,0.105,1.008e7,20.32,324.293,0.01,0.107,0.004
0.44,7.014,403.254,35.365,35.505,79.957,80.262,0.633,1.276e-7,0.633,1.155e-5,3.145,6.995,0.499,-1.407,7.527,0,0,0,85,0,8.707e4,3.678e4,91.505,0.658,9.791,NaN,266.388,NaN,7848.915,9.207,10.819,0.384,0.263,0.014,0.107,0.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.713,90,12.379,965.955,0.001,338.8,0.107,1.031e7,20.32,324.293,0.01,0.109,0.005
0.45,7.371,403.611,36.159,36.302,78.765,79.066,0.665,1.311e-7,0.665,1.13e-5,3.214,6.891,0.499,-1.407,7.429,0,0,0,85,0,8.703e4,3.673e4,91.501,0.658,9.791,NaN,266.36,NaN,7740.89,9.085,11.251,0.383,0.262,0.014,0.107,0.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.755,90,12.377,965.913,0.001,338.799,0.109,1.054e7,20.32,324.293,0.01,0.111,0.005
0.46,7.737,403.977,36.947,37.092,78.798,79.099,0.697,1.347e-7,0.697,1.106e-5,3.283,6.894,0.499,-1.407,7.274,0,0,0,85,0,8.699e4,3.67e4,91.498,0.658,9.791,NaN,266.342,NaN,7741.337,9.089,11.665,0.382,0.261,0.014,0.107,0.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.755,90,12.374,965.87,0.001,338.798,0.112,1.076e7,20.32,324.293,0.01,0.113,0.005
0.47,8.11,404.35,37.735,37.884,78.831,79.132,0.73,1.382e-7,0.73,1.084e-5,3.352,6.897,0.499,-1.407,7.125,0,0,0,85,0,8.696e4,3.667e4,91.495,0.658,9.791,NaN,266.324,NaN,7741.783,9.093,12.086,0.381,0.26,0.014,0.107,0.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.754,90,12.372,965.826,0.001,338.796,0.114,1.098e7,20.32,324.293,0.01,0.115,0.005
0.48,8.491,404.731,38.523,38.675,78.864,79.165,0.764,1.417e-7,0.764,1.062e-5,3.421,6.9,0.499,-1.407,6.982,0,0,0,85,0,8.693e4,3.664e4,91.492,0.657,9.791,NaN,266.306,NaN,7742.23,9.097,12.516,0.38,0.259,0.014,0.107,0.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.754,90,12.369,965.782,0.001,338.795,0.116,1.12e7,20.32,324.293,0.01,0.117,0.005
0.49,8.881,405.121,39.312,39.466,78.786,79.087,0.799,1.452e-7,0.799,1.041e-5,3.49,6.893,0.499,-1.407,6.844,0,0,0,85,0,8.688e4,3.659e4,91.492,0.657,9.791,NaN,266.258,NaN,7731.605,9.089,12.952,0.38,0.259,0.014,0.107,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.754,90,12.367,965.736,0.001,338.793,0.119,1.143e7,20.32,324.293,0.01,0.119,0.005
0.5,9.278,405.518,40.099,40.257,78.708,79.008,0.834,1.487e-7,0.834,1.021e-5,3.559,6.886,0.499,-1.407,6.712,0,0,0,85,0,8.683e4,3.654e4,91.493,0.657,9.791,NaN,266.211,NaN,7720.98,9.082,13.396,0.379,0.258,0.014,0.107,0.418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.754,90,12.364,965.69,0.001,338.792,0.121,1.165e7,20.32,324.293,0.01,0.122,0.005
0.51,9.683,405.923,40.882,41.043,77.967,78.265,0.87,1.522e-7,0.87,1.002e-5,3.628,6.821,0.499,-1.407,6.602,0,0,0,85,0,8.68e4,3.651e4,91.49,0.657,9.791,NaN,266.194,NaN,7654.163,9.006,13.852,0.378,0.257,0.014,0.107,0.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.766,90,12.362,965.642,0.001,338.79,0.123,1.187e7,20.32,324.293,0.01,0.123,0.005
0.52,10.095,406.335,41.658,41.822,77.226,77.521,0.907,1.557e-7,0.907,9.84e-6,3.696,6.756,0.499,-1.407,6.497,0,0,0,85,0,8.677e4,3.648e4,91.487,0.657,9.791,NaN,266.176,NaN,7587.347,8.931,14.311,0.378,0.256,0.014,0.107,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.777,90,12.359,965.594,0.001,338.788,0.125,1.209e7,20.32,324.293,0.01,0.125,0.005
0.53,10.516,406.756,42.427,42.594,76.485,76.777,0.944,1.592e-7,0.944,9.664e-6,3.763,6.692,0.499,-1.407,6.396,0,0,0,85,0,8.674e4,3.645e4,91.485,0.657,9.791,NaN,266.159,NaN,7520.53,8.855,14.774,0.377,0.255,0.014,0.107,0.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.789,90,12.356,965.544,0.001,338.787,0.128,1.231e7,20.32,324.293,0.01,0.128,0.005
0.54,10.944,407.184,43.192,43.362,76.526,76.818,0.982,1.627e-7,0.982,9.495e-6,3.83,6.695,0.499,-1.407,6.3,0,0,0,85,0,8.669e4,3.64e4,91.48,0.656,9.791,NaN,266.134,NaN,7520.53,8.86,15.241,0.376,0.255,0.014,0.107,0.411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.801,90,12.353,965.494,0.001,338.785,0.13,1.253e7,20.32,324.293,0.01,0.13,0.006
0.55,11.38,407.62,43.958,44.13,76.557,76.86,1.021,1.662e-7,1.021,9.333e-6,3.897,6.818,0.499,-1.407,6.207,0,0,0,85,0,8.665e4,3.635e4,91.476,0.656,9.791,326.36,266.109,2.965,7520.53,8.865,15.716,0.376,0.254,0.014,0.107,0.41,1.645,4.878,-4.706e-4,0,0,0,0,0,4.813,90,12.35,965.443,0.001,338.783,0.132,1.275e7,20.32,324.293,0.015,0.132,0.006
0.565,12.048,408.288,45.109,45.286,76.988,77.292,1.08,2.024e-7,1.08,1.074e-5,3.999,6.849,0.499,-1.407,6.015,0,0.361,-2.889e-6,84.997,-3.582e-7,8.66e4,3.631e4,91.472,0.656,9.791,326.855,266.083,2.991,7554.565,8.91,16.417,0.375,0.253,0.014,0.108,0.407,1.585,4.741,-2.235e-4,0,0,0,0,2.345e-4,4.784,90,12.346,965.365,0.001,338.781,0.136,1.307e7,20.32,324.293,0.015,0.134,0.006
